iter	RMSE
289	0.3277864456
290	0.3277628284
291	0.3277340496
292	0.3276219655
293	0.3275865026
294	0.3275276168
295	0.327499504
296	0.3274718704
297	0.3274264041
298	0.327404292
299	0.327382031
300	0.3273425168
301	0.3272997834
302	0.3272817685
303	0.3272484941
304	0.3272179634
305	0.3271853927
306	0.3271537883
307	0.327125404
308	0.3271071887
309	0.3270880766
310	0.3270527298
311	0.3270191708
312	0.3269787015
313	0.3269474033
314	0.3269069277
315	0.3268808773
316	0.3268314239
317	0.3268030948
318	0.3267817311
319	0.3267547542
320	0.3267362007
321	0.3267055389
322	0.326674799
323	0.3266511093
324	0.3266216185
325	0.3266015508
326	0.326549051
327	0.3265253484
328	0.3265084406
329	0.3264941436
330	0.3264681583
331	0.3264407502
332	0.3264111446
333	0.3263864293
334	0.3263682614
335	0.3263438124
336	0.3263207815
337	0.3262930031
338	0.3262533129
339	0.3262302264
340	0.3261675658
341	0.3261349703
342	0.326117121
343	0.3260935194
344	0.3260773198
345	0.3260530895
346	0.3260313309
347	0.3260086745
348	0.3259653368
349	0.3259248023
350	0.3258942208
351	0.3258793054
352	0.3258412459
353	0.3258240103
354	0.3257944304
355	0.3257431706
356	0.3257222503
357	0.3256947262
358	0.3255975616
359	0.325584616
360	0.3255562959
361	0.3254990969
362	0.325480164
363	0.3254574552
364	0.3254344129
365	0.3254023132
366	0.3253915883
367	0.3253669775
368	0.3252803294
369	0.3252438435
370	0.325219975
371	0.3252001772
372	0.3251799299
373	0.3251591947
374	0.3251350954
375	0.325101087
